"id","geoid","metro","region","lat","lon","year","oned_index","economy_index","education_index","equity_index","quality_of_life_index","transit_index","econ_exports","econ_gmp","econ_hightech","econ_kiemploy","econ_mhhinc","econ_pcpi","econ_pop2534","econ_povrt","econ_techpatents","econ_biztaxindex","econ_rdsharegdp","econ_vcpc","edu_pctbachhigher2534","edu_pctbachhigher","edu_ppstatebudget","edu_ppspending","edu_enrolled","edu_hsdiploma","edu_naep4math","edu_naep4read","edu_naep4sci","edu_naep8math","edu_naep8read","edu_naep8sci","edu_unemployednohs","equity_fbpop","equity_gini","equity_incshareq1","equity_incshareq2","equity_incshareq3","equity_incshareq4","equity_incshareq5","equity_incsharetop5","equity_medhhincblack","equity_medhhinchisp","equity_medhhincwhite","equity_medhhinctotal","equity_childpovrtblack","equity_childpovrthisp","equity_childpovrtwhite","equity_childpovrttotal","equity_homeownershipblack","equity_homeownershiphisp","equity_homeownershipwhite","equity_homeownershiptotal","qol_aqi","qol_homeownershiptotal","qol_popchange","qol_popwohealthins","qol_vcrimert","qol_vthourspc","qol_obese","qol_physicians","transit_hoursdelayedpc","transit_caralone","transit_novehicle","transit_statefunding","transit_bustrips","transit_bridgecondition"
75,21,"Houston-Baytown-Huntsville, TX","Southeast",29.9519265,-95.54091698,2010,3.91,4.54,1.70,2.29,1.64,1.99,618971471.16,93280.93,0.4706,0.1285,85414.27,51335.65,0.0168,0.1776,0.0766,5.04,0.0085,377.87,0.2212,0.3362,5035.43,10838.70,0.1989,0.9747,38.20,316.59,297.66,264.42,107.79,224.85,0.0453,0.0475,0.15,0.0493,0.0978,0.1593,0.2457,0.5010,0.1921,56863.11,97370.70,8252.82,6297.47,0.1853,0.0953,0.0094,0.1324,0.4832,0.1897,0.9979,0.7959,0.4499,0.8250,0.0310,0.0722,554.29,39.79,0.0057,243.00,10,0.8749,0.0033,141.15,0.9573,0.0164
76,22,"Indianapolis-Anderson-Columbus, IN","Midwest",39.7683795,-86.1580447,2010,4.89,2.58,1.31,2.45,2.41,4.41,60632324.27,18049.28,0.1741,0.0735,2717.00,3546.05,0.0267,0.2166,0.0948,5.05,0.0204,377.08,0.1493,0.3136,5897.39,2602.60,0.0353,0.9736,219.99,258.57,113.14,309.61,499.00,336.78,0.0314,0.0205,0.49,0.0206,0.1039,0.1614,0.2328,0.4743,0.2138,44410.66,20510.65,36604.38,15059.55,0.0616,0.2356,0.1789,0.0444,0.0441,0.6486,0.1182,0.4564,0.8517,0.6116,0.0309,0.0957,673.76,15.93,0.4970,309.78,80,0.7338,0.0831,317.17,0.4388,0.3162
77,23,"Jacksonville, FL","Southeast",30.3321838,-81.655651,2010,3.89,0.07,1.65,1.65,1.22,2.64,954562005.54,2163.85,0.2769,0.4436,40442.57,60475.58,0.0198,0.2177,0.0545,6.00,0.0047,13.25,0.3114,0.4415,9243.92,12608.12,0.2307,0.9404,102.14,205.14,257.80,313.16,344.12,56.73,0.0426,0.1229,0.01,0.0462,0.0947,0.1388,0.2490,0.5075,0.2238,84257.55,53956.29,16791.24,47950.66,0.2129,0.2156,0.0620,0.2079,0.8700,0.1264,0.2038,0.2182,0.3311,0.6876,0.0177,0.0336,650.43,45.49,0.4127,389.92,76,0.5884,0.0100,365.12,0.4509,0.2335
78,24,"Kansas City-Overland Park-Kansas City, MO-KS","Midwest",39.0844687,-94.5630298,2010,4.66,1.43,0.58,1.73,2.14,2.94,853631025.13,45265.75,0.0859,0.0395,44067.94,64913.68,0.0063,0.1747,0.1344,2.94,0.0101,279.00,0.3111,0.4382,14242.99,10387.20,0.0704,0.8661,175.22,85.44,425.09,213.08,172.26,398.55,0.0037,0.1904,0.18,0.0366,0.0812,0.1391,0.2514,0.4912,0.2264,9984.93,25642.01,33673.13,3042.43,0.1072,0.0873,0.2344,0.0255,0.9235,0.6169,0.5121,0.0037,0.3321,0.1577,0.0146,0.1756,228.70,45.91,0.1669,172.35,33,0.6167,0.0263,172.82,0.3036,0.3283
79,25,"Knoxville-Sevierville-La Follette, TN","Southeast",35.9603948,-83.9210261,2010,1.18,3.56,0.58,2.47,0.51,3.74,605609068.60,89288.44,0.2930,0.3216,55010.44,64398.91,0.0191,0.2362,0.1838,0.33,0.0075,434.31,0.4472,0.1512,4037.04,2433.10,0.1183,0.9291,120.73,142.64,124.27,176.50,50.39,77.61,0.0307,0.0677,0.14,0.0431,0.1039,0.1477,0.2479,0.4825,0.1829,40393.43,10057.18,56289.92,17254.07,0.0688,0.0485,0.0633,0.0436,0.8605,0.7891,0.9648,0.4125,0.0396,0.2897,0.0017,0.0271,682.65,41.30,0.0815,273.05,78,0.8951,0.0602,249.82,0.3967,0.4375
80,26,"Las Vegas-Paradise-Pahrump, NV","Southwest",36.145204,-115.1611806,2010,0.17,1.09,4.45,0.78,3.08,0.02,992924787.99,27665.48,0.1019,0.1031,56479.88,47217.37,0.0138,0.2325,0.1513,2.68,0.0722,243.29,0.4449,0.3480,2423.67,12688.80,0.2244,0.9309,9.51,258.32,349.55,264.53,295.83,445.91,0.0008,0.0113,0.37,0.0491,0.0815,0.1517,0.2210,0.4736,0.1844,30947.58,90149.26,18665.48,65511.79,0.1539,0.0582,0.0256,0.1853,0.7033,0.9696,0.1823,0.7606,0.7538,0.4238,0.0324,0.2189,267.08,26.08,0.3327,138.49,23,0.6979,0.0001,432.19,0.9446,0.3502
81,27,"Los Angeles-Long Beach-Riverside, CA","Southwest",34.0536781,-118.2427025,2010,3.84,4.06,1.99,1.28,4.70,1.51,957245594.31,61108.78,0.0432,0.2006,70065.21,73493.24,0.0095,0.1962,0.0259,1.36,0.0776,419.18,0.4124,0.2588,3849.23,6517.87,0.1831,0.9571,241.71,391.70,367.70,402.80,125.02,291.53,0.0376,0.1080,0.19,0.0423,0.0839,0.1443,0.2286,0.4781,0.1812,31355.95,45812.65,17279.04,76728.14,0.1579,0.2124,0.1845,0.2439,0.0986,0.7414,0.4135,0.2857,0.5295,0.1489,0.0226,0.1206,295.19,2.33,0.2423,149.48,57,0.9553,0.0585,486.61,0.7376,0.1066
82,28,"Louisville-Jefferson County--Elizabethtown-Scottsburg, KY-IN","Southeast",38.2542376,-85.759407,2010,1.75,0.53,3.15,0.37,4.62,0.34,135843962.62,57127.43,0.4248,0.1102,76974.61,39384.09,0.0079,0.1244,0.1960,1.09,0.0493,359.37,0.4842,0.3680,3522.78,11488.13,0.1980,0.9353,473.22,319.41,88.66,266.93,26.37,177.98,0.0453,0.2162,0.18,0.0492,0.1003,0.1372,0.2294,0.4763,0.2090,50695.32,88503.30,73807.58,99583.59,0.2404,0.2430,0.2446,0.1622,0.7473,0.6921,0.0548,0.2195,0.5147,0.1142,0.0070,0.2086,606.43,28.63,0.3679,395.57,13,0.6033,0.0233,490.81,0.6684,0.0367
83,29,"Memphis, TN-MS-AR","Southeast",35.1490215,-90.0516285,2010,2.32,1.93,0.23,3.76,2.35,1.42,420718565.54,67869.77,0.3847,0.1994,93998.72,80350.55,0.0139,0.2438,0.1958,4.17,0.0351,10.24,0.1175,0.3316,11617.63,8155.57,0.0366,0.8401,219.21,91.52,263.13,257.29,191.07,168.23,0.0354,0.2086,0.09,0.0393,0.1088,0.1357,0.2334,0.4850,0.2163,60008.88,49200.43,96205.09,51436.18,0.2036,0.1952,0.0653,0.2349,0.3885,0.7220,0.6438,0.1403,0.8278,0.6638,0.0185,0.2444,457.84,42.23,0.1077,101.03,71,0.8645,0.0840,386.25,0.5884,0.2355
84,30,"Miami-Fort Lauderdale-Pompano Beach, FL","Southeast",25.7742658,-80.1936589,2010,4.30,4.74,2.18,4.11,3.75,1.01,409815739.56,23688.63,0.4579,0.3877,90788.24,93033.07,0.0377,0.0353,0.0585,4.70,0.0281,157.15,0.1745,0.0427,14995.15,9650.84,0.0821,0.8652,115.02,343.88,231.21,213.34,229.24,440.92,0.0335,0.2194,0.02,0.0228,0.0854,0.1420,0.2394,0.4780,0.2105,55702.36,70633.46,29454.01,82462.79,0.0614,0.0952,0.1329,0.1004,0.2651,0.1695,0.1843,0.8512,0.8333,0.4827,0.0164,0.1404,682.18,33.98,0.4008,364.35,50,0.8263,0.0828,284.68,0.9618,0.4019
85,31,"Milwaukee-Racine-Waukesha, WI","Midwest",43.0349931,-87.922497,2010,2.83,1.20,2.10,0.57,1.22,2.24,834533800.09,79605.67,0.3063,0.3153,21492.17,72415.30,0.0331,0.2151,0.1289,1.05,0.0136,0.73,0.0137,0.0459,7529.49,7294.26,0.0104,0.8037,446.33,400.12,105.15,400.33,34.79,58.72,0.0358,0.1173,0.25,0.0272,0.0897,0.1392,0.2504,0.5037,0.2153,74996.26,92439.30,23703.64,78932.60,0.0269,0.1414,0.0917,0.1674,0.8522,0.9532,0.6134,0.8399,0.3124,0.7985,0.0295,0.1886,588.26,13.32,0.3888,248.13,17,0.6498,0.0626,417.45,0.2360,0.1883
86,32,"Minneapolis-St. Paul-St. Cloud, MN-WI","Midwest",44.9772995,-93.2654692,2010,3.52,3.42,3.22,0.02,2.98,4.68,459303984.60,34009.47,0.0000,0.1715,88248.21,33082.35,0.0396,0.0724,0.1358,9.01,0.0534,232.56,0.2438,0.3007,4642.85,1351.85,0.1298,0.8133,459.27,131.87,145.98,492.37,142.91,310.72,0.0247,0.2177,0.35,0.0250,0.0996,0.1491,0.2368,0.4898,0.2208,1642.37,7995.20,10531.02,82435.10,0.0251,0.0757,0.0082,0.0457,0.5497,0.0597,0.5533,0.7746,0.9218,0.4839,0.0006,0.1537,352.72,14.42,0.3331,305.52,66,0.5523,0.0968,468.43,0.0769,0.4830
87,33,"Nashville-Davidson--Murfreesboro--Columbia, TN","Southeast",36.1622257,-86.7743419,2010,0.94,2.68,4.07,4.85,3.71,4.53,363048580.89,22925.60,0.2318,0.1844,19651.78,96909.41,0.0208,0.2265,0.1825,5.08,0.0058,322.24,0.4663,0.3462,1179.02,761.27,0.0562,0.8075,94.82,62.01,425.97,380.63,478.42,26.37,0.0244,0.1521,0.16,0.0246,0.1126,0.1425,0.2253,0.5111,0.2050,12007.56,86873.38,27939.60,80001.86,0.2278,0.0446,0.0413,0.1040,0.9366,0.9196,0.8455,0.7747,0.7129,0.2888,0.0233,0.1232,283.33,39.98,0.3853,341.15,7,0.9560,0.0745,318.84,0.1482,0.1338
88,34,"New Orleans-Metairie-Bogalusa, LA","Southeast",29.9499323,-90.0701156,2010,3.86,2.54,3.90,1.71,3.17,3.46,504561786.49,3908.03,0.1517,0.4590,93122.42,56153.43,0.0100,0.1674,0.0769,7.73,0.0495,403.51,0.2276,0.3432,5840.15,7437.46,0.1173,0.8749,409.00,378.54,106.52,180.51,21.30,266.19,0.0331,0.0089,0.01,0.0322,0.1053,0.1454,0.2558,0.4999,0.1959,87706.48,27831.89,26735.40,31816.84,0.0587,0.2238,0.2012,0.0043,0.3637,0.2713,0.2866,0.6511,0.0467,0.1077,0.0061,0.1448,266.84,49.07,0.3738,242.33,58,0.7446,0.0757,47.12,0.3351,0.3125
89,35,"New York-Newark-Bridgeport, NY-NJ-CT-PA","Northeast",40.7305991,-73.9865812,2010,0.23,3.81,2.97,2.74,1.92,2.65,744665797.05,20009.42,0.0077,0.1589,87218.35,96072.95,0.0164,0.2365,0.1499,0.69,0.0278,228.53,0.2761,0.4751,9535.83,1810.91,0.0355,0.8395,238.63,68.37,87.03,116.50,427.61,187.30,0.0245,0.0219,0.03,0.0522,0.0855,0.1595,0.2509,0.4820,0.2158,11824.43,49576.51,34090.33,88745.05,0.0861,0.2442,0.1857,0.2439,0.8460,0.6397,0.9434,0.6315,0.6264,0.1725,0.0084,0.2487,194.19,14.15,0.0406,131.97,24,0.5489,0.0070,75.90,0.3408,0.0783
90,36,"Oklahoma City-Shawnee, OK","West",35.4707419,-97.5198806,2010,0.63,2.01,1.84,1.83,2.24,3.94,52270216.59,74455.27,0.0555,0.2367,74850.37,78580.03,0.0147,0.2216,0.0579,0.06,0.0255,479.35,0.0938,0.0851,9096.09,1716.99,0.2079,0.9342,5.61,167.43,356.96,220.26,307.82,322.05,0.0432,0.2260,0.43,0.0447,0.1085,0.1301,0.2505,0.4896,0.1917,9664.19,71909.19,37531.15,97068.12,0.1932,0.0835,0.2446,0.2073,0.7927,0.1342,0.6840,0.5523,0.2124,0.8570,0.0158,0.1165,264.74,21.93,0.2171,112.53,15,0.5044,0.0148,68.92,0.4873,0.0543
91,37,"Orlando-Deltona-Daytona Beach, FL","Southeast",28.5421175,-81.3790462,2010,2.22,0.48,1.30,0.50,4.32,2.67,135276711.50,8379.54,0.3922,0.3134,18606.57,49548.41,0.0012,0.1104,0.1011,8.61,0.0190,456.26,0.0451,0.2174,11047.83,6563.85,0.2409,0.9014,39.45,439.03,62.50,448.41,322.82,308.42,0.0141,0.0534,0.36,0.0233,0.1037,0.1311,0.2387,0.4760,0.1932,38234.42,70056.02,15629.60,78953.23,0.0045,0.2255,0.0579,0.1374,0.2720,0.8976,0.4418,0.0627,0.9401,0.7878,0.0029,0.1258,239.14,32.99,0.0785,304.25,2,0.5800,0.0131,277.79,0.5396,0.2050
92,38,"Philadelphia-Camden-Vineland, PA-NJ-DE-MD","Northeast",39.952335,-75.163789,2010,4.77,2.22,0.67,1.44,1.26,1.22,371357028.79,61481.04,0.0307,0.3302,53107.68,14311.43,0.0200,0.0723,0.1131,9.93,0.0058,282.19,0.1809,0.1527,9216.25,9142.90,0.1505,0.8027,4.27,100.76,23.75,375.25,357.82,216.52,0.0260,0.0811,0.38,0.0416,0.1109,0.1516,0.2596,0.5175,0.1947,86231.10,85764.95,5681.01,47259.56,0.0820,0.0545,0.0783,0.0647,0.1389,0.5878,0.3441,0.8708,0.9921,0.2872,0.0048,0.1413,358.38,11.92,0.0439,215.98,68,0.9940,0.0560,402.47,0.4224,0.3377
93,39,"Phoenix-Mesa-Scottsdale, AZ","Southwest",33.361168,-112.12130217,2010,1.89,4.79,1.30,0.71,3.33,4.07,492255019.91,79338.97,0.3884,0.3855,32330.46,19537.92,0.0248,0.2424,0.1503,7.12,0.0356,144.48,0.3423,0.0832,12900.51,3217.28,0.1970,0.8364,411.72,319.69,394.07,437.25,477.39,174.83,0.0289,0.1171,0.34,0.0273,0.0950,0.1546,0.2563,0.4777,0.2184,8523.18,77553.08,9266.37,63581.17,0.2398,0.1623,0.0518,0.0169,0.4520,0.6579,0.9714,0.2659,0.2500,0.1191,0.0072,0.1368,124.39,15.53,0.1153,377.18,26,0.7337,0.0250,451.20,0.2730,0.2550
94,40,"Pittsburgh-New Castle, PA","Midwest",40.4416941,-79.9900861,2010,0.37,4.90,2.56,4.16,2.82,2.50,881116413.70,28128.37,0.0176,0.0150,57150.23,83536.58,0.0369,0.0982,0.1014,3.79,0.0005,29.88,0.4738,0.0154,5377.47,9293.48,0.0258,0.8528,328.91,100.66,145.18,463.67,268.45,298.09,0.0193,0.1699,0.43,0.0234,0.0838,0.1313,0.2578,0.5196,0.1992,24753.30,5559.03,38856.04,44414.73,0.0448,0.1020,0.2473,0.1526,0.6561,0.3618,0.5819,0.2253,0.0939,0.0901,0.0098,0.1724,692.47,16.46,0.3129,247.99,63,0.6081,0.0142,353.14,0.6817,0.0765
95,41,"Portland-Vancouver-Beaverton, OR-WA","West",45.5202471,-122.6741949,2010,4.92,1.19,4.80,2.66,1.59,2.64,972439710.00,22328.75,0.3884,0.3165,35998.20,91037.96,0.0083,0.0553,0.1787,8.21,0.0593,71.90,0.0484,0.1771,12997.18,5626.03,0.0463,0.9076,400.14,478.28,393.58,194.83,355.75,390.63,0.0430,0.0598,0.33,0.0229,0.0886,0.1345,0.2257,0.4979,0.2034,94688.83,54371.65,77416.44,30321.60,0.1773,0.0544,0.1233,0.0466,0.5465,0.3818,0.5838,0.0854,0.2409,0.0794,0.0071,0.1794,64.40,47.93,0.1665,191.83,46,0.9716,0.0101,118.90,0.3965,0.1578
96,42,"Raleigh-Durham-Cary, NC","Southeast",35.7804015,-78.6390779,2010,0.76,2.23,2.00,2.85,4.73,4.56,1003358038.10,80678.70,0.3273,0.2954,79662.73,12721.20,0.0299,0.2290,0.0616,3.81,0.0171,242.31,0.4646,0.4017,1005.86,766.18,0.1904,0.8254,356.69,289.28,310.97,131.90,86.71,104.22,0.0318,0.0418,0.10,0.0439,0.0841,0.1532,0.2576,0.4943,0.2155,32382.02,91857.91,21224.86,36730.58,0.2271,0.2498,0.2072,0.0436,0.2164,0.4618,0.8384,0.1049,0.8907,0.0410,0.0219,0.0201,423.62,44.78,0.0767,201.42,40,0.7907,0.0136,54.37,0.1902,0.3801
97,43,"Richmond, VA","Southeast",37.541239,-77.4420183,2010,2.79,0.63,4.94,2.29,3.58,2.00,508930781.34,30205.45,0.0585,0.2431,32084.65,50862.12,0.0080,0.0359,0.0220,5.76,0.0386,157.27,0.1203,0.0979,10223.12,9410.66,0.0185,0.9052,115.29,51.63,199.32,398.97,94.88,319.76,0.0360,0.0612,0.14,0.0254,0.0928,0.1624,0.2531,0.4849,0.2300,90861.42,8872.80,10757.19,73221.61,0.0548,0.0096,0.0205,0.0240,0.7300,0.8853,0.8069,0.4891,0.1298,0.4726,0.0037,0.1288,221.87,29.54,0.1183,374.13,21,0.6348,0.0724,74.65,0.7426,0.3072
98,44,"Rochester-Batavia-Seneca Falls, NY","Northeast",43.1572851,-77.6152141,2010,4.35,3.19,1.22,0.27,0.11,0.10,260853498.66,38780.26,0.3630,0.2202,75439.12,42835.60,0.0203,0.0054,0.1115,0.08,0.0307,267.33,0.1330,0.4650,14635.99,12909.61,0.0924,0.9774,190.33,180.74,102.22,282.36,304.39,18.77,0.0395,0.2160,0.24,0.0351,0.0917,0.1351,0.2339,0.4728,0.2082,68597.49,67081.09,82165.11,94427.77,0.2307,0.1212,0.1013,0.1332,0.4375,0.0242,0.3894,0.8224,0.5260,0.4871,0.0196,0.2358,113.02,18.20,0.2410,112.27,55,0.6336,0.0254,130.64,0.5195,0.4577
99,45,"Sacramento--Arden-Arcade--Yuba City, CA-NV","West",38.4732259,-121.2980707,2010,1.19,1.31,1.78,0.34,3.56,2.14,797758955.23,81762.17,0.3904,0.1939,68325.93,39432.06,0.0184,0.0378,0.1291,1.65,0.0225,276.67,0.0562,0.3090,5168.63,4982.40,0.0334,0.9069,117.23,360.27,328.40,374.97,259.92,183.53,0.0030,0.1377,0.43,0.0431,0.0912,0.1512,0.2463,0.5101,0.2248,99462.02,52370.43,21857.05,46841.02,0.2069,0.0133,0.0698,0.1548,0.4704,0.3485,0.4784,0.6121,0.7687,0.7772,0.0207,0.2106,667.05,16.46,0.1284,114.24,3,0.5876,0.0158,299.10,0.9719,0.3640
100,46,"Salt Lake City-Ogden-Clearfield, UT","West",40.7606467,-111.89109,2010,0.31,0.46,3.24,2.39,2.91,0.65,935161449.67,90908.23,0.1825,0.4219,68777.53,79454.79,0.0022,0.1794,0.0445,5.34,0.0681,178.23,0.2806,0.3749,14318.32,11971.22,0.0107,0.8237,43.42,290.65,479.21,158.22,394.24,157.78,0.0498,0.1522,0.31,0.0384,0.1014,0.1367,0.2514,0.5095,0.2149,21772.60,45432.74,63471.76,22451.50,0.0567,0.2088,0.2099,0.0038,0.5926,0.3633,0.4709,0.7982,0.0193,0.4824,0.0021,0.1973,740.99,10.21,0.2788,299.31,60,0.7042,0.0380,19.61,0.8661,0.1669
101,47,"San Antonio, TX","Southwest",29.4246002,-98.4951405,2010,4.11,0.96,1.16,2.60,0.11,0.06,703031615.54,51654.36,0.0854,0.2434,49612.92,38681.94,0.0094,0.0597,0.0865,4.49,0.0822,331.50,0.4710,0.0716,5161.23,12870.50,0.0044,0.8890,364.58,243.55,302.25,349.03,384.47,10.01,0.0250,0.0498,0.39,0.0246,0.0986,0.1528,0.2399,0.5115,0.2095,74259.11,7029.35,94723.79,85390.78,0.1824,0.0475,0.1033,0.2106,0.9863,0.1669,0.0130,0.7976,0.1470,0.6167,0.0024,0.1705,283.07,47.72,0.3730,186.99,5,0.9259,0.0077,218.48,0.6443,0.0964
102,48,"San Diego-Carlsbad-San Marcos, CA","Southwest",32.7469869,-117.21177,2010,3.88,2.63,1.95,2.95,2.32,4.37,116570703.64,85013.54,0.2166,0.0462,23569.17,72917.13,0.0124,0.0107,0.1209,4.37,0.0666,436.26,0.4918,0.1383,8448.70,11144.93,0.1611,0.8981,435.08,372.04,104.00,326.93,205.11,28.01,0.0192,0.0682,0.00,0.0506,0.0864,0.1582,0.2435,0.4788,0.2137,10448.54,9742.79,26409.14,22574.65,0.0948,0.1317,0.1121,0.0990,0.0964,0.8129,0.0564,0.5685,0.2328,0.7900,0.0021,0.1557,546.49,17.02,0.0143,243.20,17,0.5230,0.0128,405.40,0.5411,0.3694
103,49,"San Jose-San Francisco-Oakland, CA","West",37.3438502,-121.8831349,2010,4.70,4.35,3.53,3.07,2.27,3.84,157582802.42,14215.33,0.4174,0.4618,33726.16,35519.40,0.0051,0.1690,0.1148,9.38,0.0122,205.22,0.1967,0.2063,13343.70,11730.94,0.1376,0.9608,275.43,490.81,267.32,482.88,211.86,300.68,0.0166,0.2455,0.24,0.0497,0.0882,0.1448,0.2264,0.4760,0.2155,71637.74,79820.77,87517.85,83856.52,0.1939,0.2195,0.2412,0.1211,0.7200,0.0332,0.8926,0.6168,0.9970,0.8061,0.0161,0.2258,531.58,10.51,0.0233,356.37,67,0.5115,0.0587,499.46,0.6570,0.0377
104,50,"Seattle-Tacoma-Olympia, WA","West",47.6038321,-122.3300624,2010,3.94,2.65,0.98,2.21,2.74,4.23,369316401.15,55778.61,0.2658,0.2684,87422.50,35616.16,0.0290,0.0407,0.1896,4.06,0.0758,129.52,0.3584,0.1914,8100.32,5123.18,0.0817,0.9161,416.28,71.87,123.11,461.95,374.98,483.04,0.0473,0.1744,0.15,0.0278,0.0875,0.1424,0.2461,0.5084,0.2024,62976.48,4130.19,43414.53,2328.93,0.1396,0.0295,0.2433,0.1548,0.4490,0.4226,0.1614,0.7093,0.2175,0.4285,0.0333,0.2467,257.72,6.78,0.1545,361.27,20,0.8437,0.0170,131.72,0.4388,0.3359
105,51,"St. Louis-St. Charles-Farmington, MO-IL","Midwest",38.6272733,-90.1978889,2010,4.71,4.57,3.21,0.98,0.67,3.79,558677527.54,62344.37,0.3163,0.4837,45891.96,21097.29,0.0146,0.2363,0.1824,3.19,0.0468,155.93,0.2456,0.0726,2751.94,7471.95,0.2057,0.9312,79.01,271.19,62.68,319.59,347.28,387.39,0.0450,0.2132,0.31,0.0465,0.0963,0.1402,0.2390,0.5038,0.2245,15551.40,58476.75,50447.81,83363.67,0.0803,0.0000,0.2120,0.0599,0.0873,0.3828,0.0206,0.9004,0.0994,0.3041,0.0023,0.1876,409.19,1.59,0.0290,395.71,66,0.7826,0.0786,308.40,0.8123,0.0380
106,52,"Tampa-St. Petersburg-Clearwater, FL","Southeast",27.9477595,-82.458444,2010,2.19,2.27,3.32,1.75,1.26,3.56,1029473973.39,7797.67,0.0744,0.0377,85497.73,35785.95,0.0030,0.0376,0.0166,2.02,0.0616,272.95,0.0061,0.3124,7721.25,6676.65,0.0363,0.9938,343.47,328.23,439.80,373.71,191.52,499.54,0.0361,0.0804,0.16,0.0355,0.0885,0.1331,0.2328,0.5143,0.2241,89913.73,67331.90,64375.06,5284.23,0.0520,0.1327,0.0295,0.0110,0.4260,0.0247,0.4251,0.5071,0.7264,0.0473,0.0014,0.1213,58.93,33.18,0.3858,187.51,42,0.7377,0.0475,284.86,0.4977,0.2880
107,53,"Virginia Beach-Norfolk-Newport News, VA-NC","Southeast",36.8529841,-75.9774183,2010,2.50,2.60,1.34,0.14,4.45,3.57,517978245.35,11117.03,0.1983,0.1054,26498.20,83672.05,0.0133,0.2343,0.1278,0.84,0.0260,269.42,0.3056,0.4163,2617.70,2798.63,0.2372,0.9055,180.19,54.65,107.36,446.91,274.63,144.34,0.0491,0.0029,0.41,0.0339,0.1052,0.1556,0.2492,0.4715,0.1814,72590.64,82694.18,96002.22,30370.51,0.1334,0.1642,0.0080,0.2322,0.4947,0.3072,0.4020,0.6513,0.6413,0.4132,0.0241,0.1642,580.66,34.94,0.3055,330.96,44,0.5866,0.0739,347.58,0.5016,0.4601
108,54,"Washington-Baltimore-Northern Virginia, DC-MD-VA-WV","Northeast",38.8951148,-77.0363716,2010,3.68,3.65,1.77,4.85,4.27,4.86,687701641.07,31453.73,0.3054,0.0499,13670.29,34866.45,0.0342,0.0279,0.0947,1.19,0.0777,149.89,0.3516,0.1191,5533.26,12688.40,0.0098,0.9661,14.10,310.25,104.08,468.83,130.00,313.69,0.0309,0.0549,0.44,0.0246,0.0818,0.1345,0.2430,0.4902,0.2244,4716.30,80259.95,55697.80,81525.81,0.0339,0.0971,0.0832,0.1800,0.4206,0.6062,0.4267,0.0610,0.0429,0.9057,0.0332,0.2187,406.07,37.56,0.2495,151.62,4,0.7600,0.0342,104.54,0.4945,0.4392
109,1,"Albany-Schenectady-Amsterdam, NY","Northeast",42.6511674,-73.754968,2011,0.95,1.86,1.47,4.59,4.81,0.64,726907967.54,54093.50,0.4709,0.3615,43726.10,78583.19,0.0224,0.0033,0.0614,4.70,0.0629,414.63,0.4594,0.2658,5464.40,6786.43,0.2371,0.9792,412.56,452.80,270.33,132.19,116.50,443.37,0.0064,0.0331,0.37,0.0396,0.1101,0.1408,0.2318,0.5028,0.2264,15406.68,89759.18,2648.62,70101.45,0.0455,0.1503,0.1803,0.2405,0.8028,0.9462,0.4691,0.9545,0.1412,0.5266,0.0051,0.2257,364.00,25.83,0.0796,259.76,9,0.9486,0.0538,398.47,0.4285,0.3883
110,2,"Atlanta-Sandy Springs-Gainesville, GA-AL","Southeast",33.7490987,-84.3901849,2011,0.55,3.58,2.71,2.47,1.89,1.87,114115015.32,62892.67,0.4490,0.1358,22667.30,13440.83,0.0248,0.0175,0.0662,3.76,0.0624,163.19,0.3178,0.4456,8455.56,5420.94,0.0796,0.9049,268.73,93.04,119.81,288.48,454.22,57.56,0.0494,0.0117,0.05,0.0350,0.1099,0.1612,0.2597,0.4877,0.2239,71976.37,48604.43,61048.42,95360.25,0.1697,0.0768,0.2205,0.0801,0.3667,0.9011,0.1595,0.0467,0.4984,0.9282,0.0234,0.1640,295.49,19.60,0.4936,333.97,62,0.8559,0.0056,262.16,0.3984,0.0055
111,3,"Austin-Round Rock, TX","Southwest",30.2711286,-97.7436995,2011,1.33,0.93,2.47,1.76,2.77,4.74,910613093.01,86393.86,0.1559,0.2678,77839.07,70181.92,0.0246,0.0171,0.0851,7.28,0.0124,341.42,0.3650,0.0949,76.07,10682.70,0.2394,0.9734,390.08,5.77,387.51,366.19,93.45,432.15,0.0115,0.0465,0.45,0.0470,0.0842,0.1392,0.2552,0.4968,0.2192,46168.14,20632.76,12064.25,71115.24,0.1264,0.0553,0.1056,0.2454,0.3780,0.3105,0.4739,0.5718,0.5009,0.8660,0.0257,0.0194,607.37,17.57,0.1632,314.06,72,0.8510,0.0174,303.35,0.8711,0.0474
112,4,"Birmingham-Hoover-Cullman, AL","Southeast",33.5206824,-86.8024326,2011,2.16,1.05,0.61,4.20,4.64,4.49,631396632.36,5942.01,0.4450,0.1709,84834.33,3776.62,0.0345,0.0111,0.1096,6.07,0.0706,28.89,0.3062,0.2581,8757.12,6592.89,0.1018,0.9933,27.23,166.11,307.08,254.00,159.12,387.39,0.0406,0.1509,0.46,0.0291,0.1082,0.1448,0.2229,0.4764,0.2098,35449.51,79643.01,27460.36,5057.15,0.2468,0.1220,0.2108,0.1398,0.0558,0.2395,0.5831,0.2364,0.7941,0.0918,0.0109,0.0078,207.61,13.89,0.2523,307.90,26,0.9465,0.0647,317.07,0.8399,0.1776
